# TODAS AS PROBABILIDADES (20 SIMULAÇÕES) - PSO
# Requisição 4: [4,11]
# Data: 2026-02-04 22:53:14
# Chamadas por load: 1000
# Loads: 1-200
# ================================================================================
# Formato: Load | Sim1 | Sim2 | ... | Sim20 | Média | DesvioPadrão
# ================================================================================

Load  41 | 0.79375000 | 0.80625000 | 0.80625000 | 0.82500000 | 0.78750000 | 0.81250000 | 0.78125000 | 0.78750000 | 0.81875000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.82500000 | 0.77500000 | 0.80625000 | 0.81250000 | 0.79375000 | 0.78750000 | 0.83750000 | 0.80218750 | 0.01584532
Load  42 | 0.78750000 | 0.78750000 | 0.80000000 | 0.82500000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.81875000 | 0.81875000 | 0.80625000 | 0.79375000 | 0.78750000 | 0.80000000 | 0.81875000 | 0.79375000 | 0.78750000 | 0.78125000 | 0.79375000 | 0.81250000 | 0.81250000 | 0.80093750 | 0.01254290
Load  43 | 0.80000000 | 0.79375000 | 0.81875000 | 0.79375000 | 0.79375000 | 0.81250000 | 0.81250000 | 0.81875000 | 0.80625000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.80625000 | 0.78750000 | 0.80000000 | 0.78125000 | 0.80000000 | 0.78125000 | 0.80625000 | 0.80000000 | 0.80187500 | 0.01084334
Load  44 | 0.79375000 | 0.78750000 | 0.78750000 | 0.81250000 | 0.80000000 | 0.80000000 | 0.78750000 | 0.77500000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.83750000 | 0.80000000 | 0.79375000 | 0.78750000 | 0.81250000 | 0.78750000 | 0.78125000 | 0.78750000 | 0.79375000 | 0.79750000 | 0.01403122
Load  45 | 0.78750000 | 0.80000000 | 0.79375000 | 0.81875000 | 0.83125000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.80000000 | 0.81250000 | 0.80000000 | 0.79375000 | 0.80625000 | 0.78750000 | 0.76875000 | 0.78750000 | 0.79375000 | 0.78750000 | 0.79375000 | 0.78125000 | 0.79531250 | 0.01353165
Load  46 | 0.81250000 | 0.78750000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.80625000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.78750000 | 0.81250000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.78750000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.79375000 | 0.80625000 | 0.79812500 | 0.00929129
Load  47 | 0.78125000 | 0.81875000 | 0.78750000 | 0.80000000 | 0.81875000 | 0.80000000 | 0.80000000 | 0.80625000 | 0.81250000 | 0.80625000 | 0.81250000 | 0.81875000 | 0.78125000 | 0.80000000 | 0.81250000 | 0.80625000 | 0.78125000 | 0.80000000 | 0.79375000 | 0.78750000 | 0.80125000 | 0.01227930
Load  48 | 0.81250000 | 0.80000000 | 0.79375000 | 0.80625000 | 0.78125000 | 0.80625000 | 0.80625000 | 0.79375000 | 0.81875000 | 0.78750000 | 0.79375000 | 0.78750000 | 0.80625000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.81250000 | 0.81250000 | 0.81250000 | 0.78750000 | 0.80000000 | 0.01064337
Load  49 | 0.79375000 | 0.81875000 | 0.78125000 | 0.78125000 | 0.81875000 | 0.82500000 | 0.82500000 | 0.79375000 | 0.79375000 | 0.80000000 | 0.78125000 | 0.78750000 | 0.79375000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.78125000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.79781250 | 0.01415249
Load  50 | 0.80000000 | 0.77500000 | 0.80625000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.79375000 | 0.79375000 | 0.78125000 | 0.81250000 | 0.79375000 | 0.80625000 | 0.78125000 | 0.81250000 | 0.78125000 | 0.80625000 | 0.81250000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.79562500 | 0.01137088
Load  51 | 0.81250000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.80000000 | 0.80625000 | 0.81250000 | 0.81250000 | 0.78125000 | 0.78750000 | 0.79375000 | 0.79375000 | 0.81250000 | 0.81250000 | 0.80625000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.79843750 | 0.01167178
Load  52 | 0.80000000 | 0.81875000 | 0.81875000 | 0.79375000 | 0.78125000 | 0.80000000 | 0.81250000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.77500000 | 0.78125000 | 0.81250000 | 0.78750000 | 0.80625000 | 0.78125000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.80625000 | 0.79656250 | 0.01288091
Load  53 | 0.80000000 | 0.78750000 | 0.80000000 | 0.80000000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.80000000 | 0.83125000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.78125000 | 0.80625000 | 0.81875000 | 0.78750000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.78125000 | 0.80031250 | 0.01225940
Load  54 | 0.81875000 | 0.82500000 | 0.79375000 | 0.79375000 | 0.80000000 | 0.79375000 | 0.82500000 | 0.80000000 | 0.78750000 | 0.81250000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.78125000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.80625000 | 0.78125000 | 0.79375000 | 0.80062500 | 0.01248437
Load  55 | 0.81875000 | 0.81250000 | 0.80625000 | 0.78125000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.82500000 | 0.78750000 | 0.78125000 | 0.80000000 | 0.81875000 | 0.78125000 | 0.79375000 | 0.77500000 | 0.79375000 | 0.81250000 | 0.80625000 | 0.82500000 | 0.79968750 | 0.01524219
Load  56 | 0.79375000 | 0.78750000 | 0.79375000 | 0.78750000 | 0.81250000 | 0.80000000 | 0.80000000 | 0.81875000 | 0.78125000 | 0.81250000 | 0.79375000 | 0.80625000 | 0.80625000 | 0.81875000 | 0.78750000 | 0.80625000 | 0.80625000 | 0.80000000 | 0.78750000 | 0.82500000 | 0.80125000 | 0.01195695
Load  57 | 0.80000000 | 0.81250000 | 0.81250000 | 0.81250000 | 0.83125000 | 0.78750000 | 0.81250000 | 0.79375000 | 0.80625000 | 0.80625000 | 0.79375000 | 0.78750000 | 0.79375000 | 0.78125000 | 0.83125000 | 0.79375000 | 0.78125000 | 0.80625000 | 0.80625000 | 0.81250000 | 0.80312500 | 0.01390537
Load  58 | 0.81250000 | 0.81250000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.81875000 | 0.80000000 | 0.77500000 | 0.78125000 | 0.78750000 | 0.78750000 | 0.80625000 | 0.80625000 | 0.77500000 | 0.78750000 | 0.79375000 | 0.81875000 | 0.79375000 | 0.80625000 | 0.79687500 | 0.01273222
Load  59 | 0.76875000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.79375000 | 0.78125000 | 0.80625000 | 0.78125000 | 0.80000000 | 0.80000000 | 0.80625000 | 0.81875000 | 0.78125000 | 0.80000000 | 0.78750000 | 0.80625000 | 0.78750000 | 0.82500000 | 0.80625000 | 0.79375000 | 0.79531250 | 0.01381731
