=== SHORTEST PATH ONLY ===

Blocking Probability Results:
Load	Req1	Req2	Req3	Req4	Req5
173	0.597050	0.625550	0.619750	0.627950	0.629650
174	0.604500	0.622900	0.621950	0.628250	0.631050
175	0.603500	0.626900	0.623750	0.633450	0.630450
176	0.606950	0.626700	0.625400	0.627850	0.630950
177	0.604900	0.628400	0.633600	0.632000	0.629550
178	0.603850	0.627450	0.628500	0.630900	0.637450
179	0.610600	0.629800	0.632150	0.633150	0.632300
180	0.608400	0.630650	0.629400	0.628650	0.641100
181	0.609600	0.634700	0.629200	0.633700	0.640300
182	0.611900	0.633500	0.633100	0.638700	0.637750
183	0.611700	0.637100	0.629950	0.641550	0.639100
184	0.618300	0.637300	0.634750	0.638850	0.639900
185	0.613700	0.635700	0.638050	0.640450	0.640300
186	0.617100	0.637250	0.637250	0.638700	0.649950
187	0.616150	0.637100	0.639450	0.642150	0.648300
188	0.615900	0.641950	0.641150	0.645400	0.647100
189	0.619000	0.643200	0.638950	0.645100	0.648900
190	0.619200	0.644100	0.643750	0.647300	0.642750
191	0.619450	0.643900	0.645250	0.645600	0.650600
192	0.622400	0.643050	0.647150	0.646800	0.652250
193	0.623050	0.643250	0.646450	0.652900	0.651350
194	0.626800	0.643650	0.650350	0.652900	0.652650
195	0.621200	0.647450	0.646150	0.654750	0.653950
196	0.628550	0.650600	0.645300	0.651650	0.654350
197	0.629050	0.647500	0.647100	0.649950	0.654600
198	0.628700	0.653600	0.645850	0.653100	0.662100
199	0.627450	0.650350	0.651700	0.652350	0.651350
200	0.630950	0.654600	0.652750	0.657150	0.661700

=== ESTATÍSTICAS (Load 1-200) ===

[0,12]:
  Média: 0.356203
  Máx: 0.630950
  Mín: 0.000000
  Desvio Padrão: 0.234141

[2,6]:
  Média: 0.370839
  Máx: 0.654600
  Mín: 0.000000
  Desvio Padrão: 0.242653

[3,8]:
  Média: 0.370224
  Máx: 0.652750
  Mín: 0.000000
  Desvio Padrão: 0.242427

[4,11]:
  Média: 0.372597
  Máx: 0.657150
  Mín: 0.000000
  Desvio Padrão: 0.243590

[5,10]:
  Média: 0.374952
  Máx: 0.662100
  Mín: 0.000000
  Desvio Padrão: 0.244592
