=== YEN 2 ROTAS ALEATÓRIAS (First Fit) ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Número de rotas consideradas por requisição: 2
  Requisições: [(0, 12), (2, 6), (5, 10), (4, 11), (3, 8)]
  Rodadas por carga: 20
  Chamadas por rodada: 1000
  Cargas testadas: 1 a 200
  Seleção de rota: Aleatória entre as 2 menores
  Alocação de wavelength: First Fit

RESULTADOS (Blocking Probability):
Carga	Req1	Req2	Req3	Req4	Req5
151	0.589950	0.376000	0.583900	0.390100	0.379700
152	0.592500	0.380000	0.592350	0.394350	0.375350
153	0.592600	0.386750	0.589500	0.400500	0.386600
154	0.597600	0.390800	0.591950	0.396900	0.390250
155	0.597050	0.390450	0.591200	0.402600	0.383850
156	0.595350	0.394600	0.594750	0.412700	0.394800
157	0.601200	0.397450	0.599900	0.408900	0.397600
158	0.597150	0.397700	0.600400	0.411950	0.406550
159	0.601850	0.405100	0.601050	0.416600	0.397600
160	0.609600	0.402600	0.600900	0.418300	0.406700
161	0.611100	0.410750	0.601750	0.418050	0.405750
162	0.608700	0.416000	0.606750	0.424450	0.412200
163	0.615700	0.415900	0.608600	0.431750	0.411900
164	0.605100	0.418150	0.608950	0.431000	0.411100
165	0.614600	0.421150	0.616000	0.433950	0.419600
166	0.613100	0.425100	0.613700	0.438100	0.419400
167	0.615700	0.425500	0.608800	0.440650	0.421400
168	0.621100	0.426250	0.619050	0.439950	0.420850
169	0.619850	0.428450	0.619250	0.447050	0.425800
170	0.621700	0.433800	0.620200	0.448250	0.433100
171	0.618750	0.432900	0.618750	0.457000	0.432050
172	0.624850	0.437000	0.620800	0.458200	0.445250
173	0.621850	0.443700	0.616100	0.459500	0.437800
174	0.628550	0.448350	0.625700	0.456850	0.443500
175	0.626900	0.448450	0.628100	0.457200	0.445150
176	0.627800	0.452250	0.630600	0.463900	0.446350
177	0.633550	0.447050	0.628050	0.465950	0.451150
178	0.630050	0.453450	0.626600	0.470750	0.452500
179	0.627750	0.452100	0.632650	0.474800	0.451250
180	0.634450	0.459550	0.632950	0.470450	0.457200
181	0.636750	0.460050	0.629400	0.476800	0.454000
182	0.631650	0.465100	0.636100	0.484450	0.463650
183	0.635100	0.462350	0.638600	0.484450	0.461200
184	0.634400	0.475000	0.637050	0.482800	0.463550
185	0.636750	0.472100	0.641000	0.489150	0.465850
186	0.640450	0.469400	0.636800	0.487650	0.474500
187	0.639250	0.471400	0.639050	0.488600	0.473250
188	0.646250	0.472600	0.643600	0.493550	0.475200
189	0.643900	0.475650	0.648700	0.489650	0.476800
190	0.643100	0.482350	0.642850	0.495500	0.479450
191	0.645300	0.485400	0.650000	0.500450	0.483600
192	0.647950	0.481300	0.648400	0.503750	0.482000
193	0.646600	0.488150	0.649900	0.505200	0.483350
194	0.649050	0.489150	0.655050	0.511150	0.483200
195	0.649300	0.492050	0.651900	0.507100	0.485450
196	0.653300	0.497750	0.654500	0.508100	0.493150
197	0.653850	0.496400	0.656700	0.512750	0.490700
198	0.654750	0.496000	0.656100	0.514600	0.497350
199	0.659200	0.502700	0.656450	0.515300	0.496650
200	0.657850	0.501100	0.664050	0.518750	0.496750

=== ESTATÍSTICAS DAS ROTAS USADAS ===
Total de chamadas bem-sucedidas: 14772165
Rota média usada: 1.499
Distribuição de uso das rotas:
  Rota 1: 50.083%
  Rota 2: 49.917%
  Uso da primeira rota: 50.083%
  Uso da segunda rota: 49.917%

=== ESTATÍSTICAS POR REQUISIÇÃO (Cargas 1-200) ===

[0,12]:
  Média: 0.367636
  Máximo: 0.659200
  Mínimo: 0.000000
  Desvio Padrão: 0.243306
  Média em %: 36.7636%

[2,6]:
  Média: 0.190778
  Máximo: 0.502700
  Mínimo: 0.000000
  Desvio Padrão: 0.185657
  Média em %: 19.0778%

[3,8]:
  Média: 0.360609
  Máximo: 0.664050
  Mínimo: 0.000000
  Desvio Padrão: 0.243941
  Média em %: 36.0609%

[4,11]:
  Média: 0.198026
  Máximo: 0.518750
  Mínimo: 0.000000
  Desvio Padrão: 0.192274
  Média em %: 19.8026%

[5,10]:
  Média: 0.189910
  Máximo: 0.497350
  Mínimo: 0.000000
  Desvio Padrão: 0.184875
  Média em %: 18.9910%
